,sketch_acc,sketch_f1,change_vs_erm,acc_dog,acc_elephant,acc_giraffe,acc_guitar,acc_horse,acc_house,acc_person
erm (source-only),0.6660727920590481,0.7017081657359457,0.0,0.8212435233160622,0.5513513513513514,0.2868525896414343,0.975328947368421,0.6764705882352942,0.8875,0.89375
task2/dan,0.7767879867650802,0.7347375418019183,0.110715194706032,0.594559585492228,0.8418918918918918,0.8233731739707836,0.8717105263157895,0.7144607843137255,0.9875,0.9875
task2/dann,0.1074064647493,0.0497961525379586,-0.5586663273097481,0.4611398963730569,0.0,0.0,0.0,0.0,0.0125,0.40625
task2/cdan,0.14507508271824893,0.1167525153224263,-0.5209977093407991,0.4520725388601036,0.012162162162162163,0.13811420982735723,0.03125,0.0,0.2375,0.4375
task3/dan_dg,0.6660727920590481,0.6621760579785742,0.0,0.4507772020725388,0.9121621621621622,0.7596281540504648,0.8207236842105263,0.4901960784313725,0.6375,0.45
task3/sam,0.7365741919063374,0.7540691146602032,0.0705013998472893,0.3510362694300518,0.9378378378378378,0.6865869853917662,0.9177631578947368,0.7892156862745098,0.9375,0.84375
